,salary
367,103382
368,50923
369,88502
370,64408
371,80628
372,62566
373,79598
374,65837
375,82545
376,53721
377,72532
378,86744
379,68859
380,54545
381,56148
382,62773
383,91895
384,69741
385,53316
386,64129
387,100894
388,61185
389,58297
390,80723
391,89966
392,88092
393,50195
394,66837
395,97302
396,84550
397,51552
398,49476
399,54628
400,74645
401,59636
402,55115
403,47967
404,46387
405,64175
406,67407
407,59896
408,98279
409,57486
410,70242
411,105199
412,101812
413,85728
414,60489
415,51604
416,120116
417,73197
418,60991
419,88024
420,71389
421,55892
422,81284
423,55816
424,97343
425,66726
426,122653
427,80162
428,71671
429,84392
430,86754
431,126614
432,70863
433,56358
434,89954
435,56849
436,74457
437,69273
438,126034
439,77006
440,70405
441,74567
442,86030
443,99276
444,79625
445,87487
446,58098
447,90983
448,99733
449,46950
450,65771
451,76969
452,61806
453,52961
454,58934
455,80992
456,89547
457,77495
458,67235
459,93201
460,47796
461,89866
462,62497
463,72151
464,91304
465,54270
466,61128
467,48617
468,105818
469,72134
470,64724
471,91554
472,66926
473,74418
474,84721
475,74725
476,84683
477,69849
478,72014
479,70886
480,80285
481,71926
482,79208
483,118613
484,79707
485,49298
486,74649
487,63230
488,95241
489,59405
490,58497
491,55094
492,45641
493,71594
494,56826
495,93833
496,55033
497,99689
498,76107
499,81469
500,66534
501,86399
502,59727
503,46912
504,55124
505,81830
506,52124
507,58267
508,96424
509,66194
510,48967
511,57291
512,61362
513,82631
514,60236
515,49154
516,81463
517,67234
518,60996
519,53424
520,72324
521,45167
522,69773
523,52552
524,78957
525,68966
526,99498
527,64532
528,80161
529,77983
530,48869
531,71957
532,75709
533,76268
534,78613
535,112604
536,44520
537,50044
538,97173
539,85001
540,46923
541,85978
542,63189
543,59003
544,95475
545,61658
546,96834
547,63069
548,53616
549,47683
550,76713
551,69415
552,114919
553,63629
554,100949
555,67546
556,93492
557,64360
558,93037
559,79991
560,48005
561,59249
562,80252
563,105545
564,76094
565,64417
566,57419
567,99116
568,75526
569,46202
570,72950
571,89961
572,61627
573,60644
574,52536
575,42510
576,78299
577,75523
578,100158
579,59008
580,44812
581,50808
582,60860
583,105260
584,61163
585,67848
586,70846
587,56738
588,60861
589,60732
590,65377
591,61709
592,78025
593,78994
594,78161
595,85872
596,78918
597,80074
598,73409
599,58687
600,73425
601,97148
602,42569
603,55498
604,91523
605,48573
606,59454
607,61507
608,49000
609,74491
610,104593
611,96507
612,41112
613,47680
614,102666
615,93880
616,55120
617,57184
618,69890
619,57607
620,95712
621,101432
622,78769
623,56794
624,55420
625,48195
626,54358
627,47349
628,67353
629,45709
630,66822
631,71474
632,58030
633,59529
634,104291
635,50763
636,69522
637,57456
638,68340
639,61104
640,68904
641,44465
642,87978
643,79396
644,60700
645,65884
646,69004
647,63651
648,50012
649,83035
650,83290
651,57314
652,68737
653,78202
654,50813
655,87476
656,77721
657,40063
658,60969
659,79314
660,79304
661,65206
662,71748
663,88183
664,99869
665,45557
666,65548
667,54619
668,99085
669,70222
670,56867
671,52078
672,61080
673,66330
674,53781
675,83424
676,48419
677,67036
678,87285
679,84839
680,66516
681,73298
682,69461
683,51334
684,54124
685,78714
686,58588
687,74030
688,47539
689,106685
690,83361
691,86188
692,66411
693,82133
694,91601
695,43004
696,62584
697,84060
698,84001
699,74304
700,80508
701,84104
702,91902
703,64564
704,49164
705,49389
706,56269
707,97533
708,56038
709,101291
710,89362
711,95299
712,55629
713,60365
714,99925
715,72239
716,46963
717,136004
718,74474
719,76597
720,56503
721,51882
722,72986
723,70230
724,71378
725,63185
726,65510
727,96667
728,65863
729,105549
730,70728
731,73004
732,55677
733,95052
734,90091
735,61471
736,99406
737,79583
738,108286
739,63577
740,71265
741,71200
742,61142
743,68325
744,65912
745,52036
746,60672
747,60067
748,73771
749,61324
750,74468
751,108280
752,51167
753,58573
754,46775
755,66362
756,54950
757,59643
758,72210
759,53199
760,73234
761,70511
762,101751
763,48707
764,125713
765,55271
766,70434
767,75805
768,70123
769,91074
770,100477
771,85414
772,95372
773,80829
774,65102
775,102344
776,51041
777,49771
778,69408
779,80438
780,62025
781,57909
782,42858
783,86796
784,80142
785,85016
786,95533
787,76811
788,68620
789,72415
790,53878
791,86877
792,73713
793,64994
794,56356
795,84076
796,56374
797,48215
798,65811
799,42260
800,68449
801,70663
802,85295
803,70301
804,65349
805,72751
806,52818
807,100178
808,107605
809,77994
810,73711
811,66869
812,77280
813,51194
814,84841
815,70623
816,70945
817,102594
818,73249
819,82252
820,71980
821,110670
822,108102
823,52119
824,75271
825,60234
826,71777
827,79845
828,72400
829,89602
830,84752
831,76385
832,54496
833,59648
834,61156
835,85410
836,51336
837,71176
838,81133
839,83373
840,60101
841,63285
842,79822
843,89685
844,78603
845,70453
846,86161
847,101549
848,67828
849,52281
850,72446
851,78759
852,59054
853,67772
854,68065
855,79163
856,61918
857,51830
858,95670
859,54055
860,82282
861,51167
862,70352
863,60362
864,76975
865,105429
866,103320
867,75461
868,83301
869,68236
870,82057
871,61333
872,51236
873,77591
874,82823
875,71128
876,60433
877,49217
878,73918
879,47424
880,109495
881,64195
882,43989
883,95395
884,64696
885,85860
886,108369
887,73210
888,58920
889,66599
890,61163
891,52005
892,104979
893,53177
894,61830
895,79384
896,64211
897,115504
898,61298
899,63304
900,104886
901,93281
902,57571
903,47308
904,85866
905,49667
906,53787
907,54446
908,79920
909,55665
910,70716
911,58587
912,85274
913,44151
914,57809
915,51774
916,74769
917,66082
918,118453
919,44748
920,79041
921,126202
922,108321
923,69662
924,55756
925,49970
926,95727
927,54386
928,83904
929,71393
930,106899
931,79373
932,91367
933,49397
934,53244
935,61398
936,83123
937,69647
938,55531
939,103439
940,55227
941,47939
942,46559
943,42652
944,58041
945,70695
946,49290
947,85700
948,54923
949,66502
950,50318
951,48072
952,99737
953,99020
954,80196
955,56672
956,50526
957,57753
958,95201
959,63677
960,104016
961,71477
962,71101
963,67824
964,56995
965,55847
966,73457
967,92356
968,59515
969,92170
970,49122
971,68768
972,99858
973,94222
974,46298
975,87231
976,67382
977,58841
978,64917
979,44562
980,81056
981,53797
982,95170
983,75606
984,59869
985,75449
986,59805
987,63013
988,64655
989,76511
990,46879
991,66648
992,60954
993,107332
994,97545
995,65948
996,51540
997,83132
998,91670
999,50051
1000,54614
1001,76694
1002,80796
1003,96160
1004,57921
1005,61810
1006,55457
1007,50272
1008,67532
1009,111611
1010,52435
1011,89977
1012,66717
1013,73249
1014,95584
1015,47142
1016,78218
1017,66827
1018,78895
1019,64115
1020,95778
1021,62905
1022,43538
1023,87020
1024,71804
1025,56340
1026,76604
1027,66884
1028,89424
1029,95144
1030,83956
1031,52943
1032,108308
1033,86470
1034,68475
1035,72061
1036,66289
1037,70173
1038,109283
1039,55329
1040,97698
1041,78553
1042,59445
1043,86521
1044,82290
1045,71394
1046,96997
1047,75613
1048,45446
1049,93094
1050,71682
1051,69781
1052,95643
1053,65753
1054,50144
1055,55544
1056,105081
1057,44469
1058,69578
1059,48707
1060,61525
1061,91448
1062,69456
1063,61096
1064,62619
1065,97520
1066,97533
1067,73964
1068,59974
1069,70344
1070,76031
1071,51608
1072,87025
1073,65413
1074,67194
1075,58877
1076,72637
1077,65421
1078,83012
1079,73499
1080,62668
1081,63047
1082,66878
1083,63798
1084,77563
1085,73114
1086,87003
1087,83067
1088,64899
1089,111928
1090,83190
1091,66364
1092,105850
1093,115938
1094,64276
1095,51794
1096,79722
1097,56875
1098,65266
1099,64242
1100,81461
1101,72177
1102,56083
1103,110156
1104,73698
1105,72790
1106,76784
1107,61115
1108,68134
1109,65817
1110,48095
1111,59277
1112,42675
1113,79003
1114,74482
1115,112328
1116,69594
1117,68727
1118,76888
1119,61956
1120,75076
1121,57977
1122,57856
1123,57125
1124,64733
1125,125163
1126,63940
1127,65387
1128,106117
1129,71011
1130,71238
1131,50722
1132,67138
1133,90591
1134,54058
1135,51066
1136,83922
1137,93584
1138,53418
1139,57697
1140,79464
1141,65173
1142,51372
1143,64401
1144,64405
1145,87294
1146,79865
1147,105927
1148,83306
1149,47255
1150,73203
1151,89909
1152,65741
1153,65958
1154,75580
1155,54384
1156,86456
1157,70690
1158,102480
1159,62217
1160,52193
1161,104515
1162,50851
1163,76176
1164,89688
1165,64463
1166,72886
1167,65328
1168,48723
1169,67303
1170,82731
1171,73802
1172,64707
1173,79589
1174,63359
1175,71537
1176,68079
1177,84783
1178,53523
1179,61945
1180,46018
1181,91865
1182,56757
1183,70361
1184,55658
1185,69645
1186,99674
1187,82010
1188,94643
1189,119958
1190,82435
1191,65499
1192,145732
1193,66415
1194,81761
1195,67828
1196,44577
1197,68849
1198,64077
1199,69224
1200,62495
1201,66512
1202,53051
1203,53148
1204,74364
1205,76745
1206,86629
1207,69058
1208,101948
1209,48660
1210,90605
1211,64106
1212,71897
1213,71303
1214,100474
1215,64941
1216,75694
1217,58419
1218,69351
1219,98701
1220,56263
1221,77130
1222,52755
1223,82937
1224,63985
1225,68997
1226,74872
1227,65551
1228,59581
1229,56857
1230,72790
1231,73116
1232,126237
1233,79468
1234,85088
1235,65064
1236,73205
1237,68888
1238,54552
1239,73333
1240,108887
1241,109046
1242,51079
1243,50094
1244,103142
1245,58650
1246,57845
1247,66287
1248,110985
1249,48288
1250,107185
1251,71025
1252,72849
1253,76312
1254,87965
1255,70353
1256,62286
1257,111175
1258,75496
1259,91586
1260,78053
1261,69492
1262,65521
1263,48608
1264,65712
1265,93225
1266,57318
1267,56048
1268,77882
1269,69921
1270,60427
1271,81329
1272,59217
1273,94557
1274,61684
1275,76129
1276,49382
1277,70905
1278,64991
1279,43971
1280,63122
1281,78366
1282,60505
1283,69972
1284,88307
1285,61263
1286,62142
1287,69949
1288,94684
1289,93674
1290,49662
1291,65588
1292,105429
1293,77275
1294,86936
1295,63701
1296,51555
1297,65714
1298,57367
1299,67611
1300,74461
1301,86968
1302,87232
1303,72663
1304,85171
1305,72285
1306,72770
1307,52511
1308,76851
1309,54710
1310,60758
1311,78924
1312,50004
1313,45223
1314,57308
1315,57567
1316,95497
1317,76880
1318,86398
1319,77756
1320,50070
1321,87786
1322,98169
1323,59813
1324,57324
1325,63060
1326,61148
1327,63310
1328,53608
1329,62974
1330,71048
1331,75223
1332,61876
1333,93231
1334,59324
1335,80089
1336,96884
1337,91605
1338,55338
1339,93927
1340,98484
1341,47373
1342,94364
1343,78623
1344,100835
1345,67677
1346,63524
1347,53887
1348,94144
1349,69740
1350,98173
1351,72576
1352,72596
1353,55079
1354,113241
1355,42410
1356,61317
1357,76359
1358,116433
1359,50827
1360,64209
1361,80678
1362,101179
1363,57056
1364,81071
1365,45619
1366,100669
1367,55012
1368,68355
1369,73119
1370,65912
1371,60279
1372,64148
1373,74603
1374,73422
1375,70806
1376,43151
1377,66766
1378,59403
1379,70203
1380,68521
1381,89138
1382,59099
1383,54818
1384,54690
1385,108725
1386,70106
1387,77671
1388,73336
1389,101194
1390,50729
1391,47113
1392,66778
1393,52495
1394,64470
1395,61013
1396,62095
1397,59938
1398,109567
1399,84493
1400,63774
1401,61335
1402,53298
1403,83529
1404,70230
1405,54509
1406,48626
1407,66237
1408,73457
1409,94787
1410,47936
1411,61392
1412,84714
1413,52245
1414,64253
1415,73349
1416,76842
1417,52209
1418,79928
1419,60059
1420,66326
1421,90532
1422,63576
1423,57139
1424,65346
1425,68240
1426,67644
1427,41330
1428,68946
1429,53979
1430,58196
1431,49460
1432,72282
1433,74169
1434,60996
1435,61071
1436,122415
1437,53378
1438,65162
1439,92217
1440,63541
1441,65474
1442,51391
1443,73405
1444,61552
1445,55470
1446,93459
1447,122775
1448,117202
1449,74385
1450,76622
1451,84127
1452,41393
1453,82042
1454,53145
1455,69205
1456,89273
1457,95708
1458,64329
1459,64533
1460,73437
1461,82867
1462,74633
1463,92720
1464,70018
1465,83213
1466,63230
1467,82571
1468,86221
1469,62556
1470,92644
1471,78105
1472,91724
1473,48098
1474,68401
1475,47118
1476,75920
1477,97745
1478,55451
1479,60124
1480,74510
1481,95810
1482,91774
1483,104274
1484,69960
1485,57805
1486,112385
1487,62601
1488,76029
1489,69499
1490,82498
1491,87439
1492,60491
1493,77790
1494,87943
1495,84770
1496,64001
1497,133910
1498,47998
1499,88523
1500,80838
1501,73610
1502,82136
1503,60826
1504,53779
1505,65855
1506,56068
1507,67272
1508,87267
1509,57940
1510,53274
1511,85133
1512,83432
1513,68469
1514,83926
1515,104171
1516,97602
1517,72291
1518,89692
1519,52144
1520,55138
1521,46164
1522,67952
1523,50270
1524,92746
1525,64356
1526,55105
1527,80564
1528,67976
1529,112689
1530,52602
1531,51634
1532,101883
1533,96588
1534,69400
1535,81551
1536,64427
1537,88250
1538,63007
1539,122132
1540,66008
1541,64785
1542,77516
1543,73830
1544,80130
1545,45857
1546,75799
1547,52217
1548,103974
1549,77855
1550,49988
1551,73570
1552,60361
1553,45952
1554,110068
1555,55160
1556,67573
1557,91336
1558,80818
1559,53871
1560,99533
1561,83150
1562,58131
1563,67518
1564,121724
1565,87857
1566,65391
1567,70796
1568,77578
1569,72339
1570,66558
1571,68411
1572,64159
1573,67197
1574,64156
1575,89359
1576,57811
1577,89165
1578,79590
1579,81303
1580,64559
1581,93706
1582,69336
1583,72925
1584,88567
1585,45706
1586,78541
1587,101046
1588,67112
1589,67924
1590,68591
1591,81455
1592,58867
1593,106757
1594,73717
1595,59986
1596,64125
1597,65413
1598,76506
1599,65059
1600,74005
1601,75125
1602,72224
1603,64328
1604,85930
1605,98998
1606,62813
1607,74702
1608,63072
1609,72826
1610,86831
1611,64026
1612,93524
1613,82535
1614,62102
1615,58215
1616,50821
1617,66927
1618,62243
1619,66114
1620,108904
1621,88722
1622,90248
1623,83503
1624,44595
1625,49606
1626,47427
1627,67883
1628,99393
1629,54064
1630,69512
1631,52503
1632,71208
1633,86350
1634,71281
1635,63638
1636,76182
1637,48897
1638,77962
1639,69675
1640,43896
1641,51772
1642,100845
1643,84059
1644,71366
1645,74897
1646,70282
1647,95804
1648,54804
1649,65279
1650,56124
1651,59118
1652,96550
1653,56254
1654,73454
1655,89073
1656,74109
1657,74823
1658,69850
1659,97071
1660,75285
1661,55481
1662,90901
1663,50908
1664,74423
1665,63359
1666,83968
1667,104700
1668,104740
1669,85650
1670,74369
1671,67378
1672,71713
1673,56322
1674,62943
1675,59949
1676,107431
1677,55490
1678,85541
1679,68259
1680,56307
1681,105310
1682,83035
1683,45651
1684,74731
1685,73521
1686,53891
1687,71065
1688,49322
1689,52328
1690,66582
1691,73400
1692,104600
1693,85883
1694,122487
1695,111938
1696,47146
1697,105090
1698,47532
1699,57346
1700,63829
1701,77289
1702,59292
1703,69161
1704,95117
1705,45271
1706,82881
1707,50623
1708,50407
1709,99814
1710,79759
1711,76985
1712,85026
1713,83350
1714,52759
1715,75079
1716,90642
1717,78582
1718,76112
1719,69267
1720,46704
1721,88511
1722,76808
1723,64943
1724,46041
1725,55283
1726,50366
1727,74235
1728,65168
1729,43538
1730,88587
1731,68367
1732,141114
1733,63713
1734,104913
1735,92127
1736,66405
1737,81100
1738,69846
1739,68855
1740,53368
1741,103268
1742,84618
1743,48383
1744,53157
1745,54528
1746,60868
1747,78605
1748,52563
1749,55845
1750,49649
1751,83268
1752,63215
1753,53768
1754,59808
1755,58011
1756,75836
1757,80726
1758,67594
1759,71966
1760,90898
1761,45701
1762,104290
1763,76357
1764,86072
1765,48052
1766,52237
1767,46292
1768,52949
1769,70262
1770,69466
1771,61054
1772,77251
1773,47007
1774,67982
1775,137240
1776,65701
1777,63070
1778,46624
1779,58571
1780,65174
1781,82068
1782,66955
1783,85684
1784,65402
1785,62079
1786,73161
1787,92773
1788,88465
1789,84143
1790,48367
1791,53773
1792,60353
1793,67747
1794,98744
1795,75775
1796,84309
1797,72285
1798,66375
1799,49372
1800,51248
1801,68078
1802,73309
1803,110057
1804,61260
1805,64901
1806,113252
1807,83973
1808,79930
1809,43301
1810,99333
1811,61330
1812,57572
1813,82552
1814,62656
1815,63126
1816,93749
1817,100448
1818,86686
1819,119048
1820,67038
1821,58659
1822,75391
1823,72726
1824,64877
1825,88935
1826,85505
1827,79133
1828,69789
1829,61445
1830,61822
1831,90548
1832,51653
1833,54907
1834,77792
1835,43048
1836,75551
1837,108197
1838,62867
1839,52094
1840,48922
1841,73150
1842,84279
1843,59139
1844,43930
1845,81156
1846,91041
1847,65703
1848,49784
1849,66239
1850,89980
1851,91660
1852,84400
1853,78613
1854,72622
1855,41891
1856,64135
1857,57500
1858,60386
1859,74589
1860,45537
1861,119562
1862,62745
1863,93238
1864,53089
1865,92863
1866,74446
1867,73393
1868,59499
1869,79645
1870,69131
1871,47025
1872,55966
1873,89826
1874,113551
1875,60478
1876,55591
1877,89147
1878,61650
1879,99253
1880,62747
1881,74470
1882,54310
1883,84829
1884,48642
1885,52208
1886,76554
1887,56872
1888,53845
1889,59267
1890,82393
1891,79244
1892,71511
1893,92494
1894,92631
1895,72584
1896,103055
1897,67021
1898,55955
1899,59295
1900,92423
1901,76775
1902,52902
1903,103027
1904,59227
1905,78687
1906,74920
1907,48774
1908,70465
1909,56933
1910,68732
1911,82290
1912,57626
1913,63095
1914,89828
1915,93223
1916,46271
1917,78929
1918,58685
1919,53671
1920,53195
1921,66513
1922,96766
1923,59204
1924,61779
1925,60805
1926,75051
1927,46646
1928,47326
1929,84061
1930,68061
1931,68532
1932,47678
1933,82772
1934,100919
1935,64751
1936,117679
1937,99676
1938,65342
1939,69902
1940,79565
1941,71128
1942,62405
1943,55656
1944,54134
1945,70414
1946,126461
1947,69641
1948,64526
1949,72170
1950,74129
1951,89071
1952,69993
1953,79148
1954,76771
1955,42101
1956,65572
1957,68046
1958,46474
1959,106821
1960,70064
1961,64238
1962,50842
1963,93365
1964,59218
1965,67104
1966,128659
1967,66040
1968,47587
1969,74491
1970,59405
1971,63216
1972,93514
1973,85189
1974,66978
1975,54966
1976,59327
1977,42766
1978,111486
1979,49296
1980,47378
1981,65823
1982,80842
1983,59854
1984,89226
1985,74465
1986,70834
1987,60308
1988,102247
1989,84432
1990,53789
1991,58538
1992,75203
1993,75215
1994,106185
1995,82514
1996,65100
1997,67335
1998,66730
1999,80371
2000,71607
2001,75252
2002,56727
2003,70505
2004,70868
2005,53642
2006,45936
2007,65805
2008,98670
2009,58042
2010,73573
2011,72810
2012,62703
2013,61412
2014,105874
2015,94048
2016,47352
2017,103165
2018,64565
2019,62193
2020,48227
2021,70363
2022,90122
2023,61457
2024,65948
2025,79895
2026,65876
2027,98242
2028,61134
2029,68737
2030,68697
2031,79682
2032,65072
2033,44825
2034,54128
2035,123684
2036,56490
2037,76847
2038,69939
2039,73310
2040,66408
2041,57550
2042,59288
2043,82808
2044,87918
2045,66126
2046,73994
2047,101579
2048,72547
2049,44715
2050,123494
2051,83203
2052,60431
2053,58040
2054,119188
2055,74096
2056,45939
2057,48792
2058,71818
2059,59789
2060,92480
2061,71836
2062,57785
2063,64554
2064,72665
2065,70769
2066,52162
2067,68694
2068,44865
2069,82151
2070,106336
2071,69117
2072,90771
2073,73819
2074,65648
2075,64853
2076,74274
2077,83501
2078,71317
2079,58719
2080,69946
2081,68994
2082,71470
2083,81547
2084,60476
2085,54805
2086,68491
2087,97957
2088,62209
2089,86236
2090,95220
2091,96999
2092,65549
2093,93858
2094,80406
2095,48777
2096,63908
2097,89012
2098,74108
2099,62507
2100,60372
2101,54144
2102,100107
2103,91096
2104,66109
2105,66620
2106,49613
2107,52211
2108,42042
2109,101737
2110,58133
2111,71516
2112,58153
2113,75057
2114,60849
2115,74766
2116,113187
2117,50620
2118,103693
2119,99167
2120,79966
2121,83089
2122,92983
2123,87960
2124,60363
2125,89361
2126,91571
2127,67532
2128,65228
2129,53880
2130,68820
2131,62923
2132,53581
2133,87781
2134,83420
2135,78625
2136,119609
2137,61834
2138,71535
2139,72393
2140,89276
2141,91437
2142,75628
2143,111083
2144,97989
2145,65010
2146,86140
2147,91484
2148,65139
2149,66679
2150,108781
2151,55047
2152,106235
2153,75432
2154,43322
2155,50088
2156,89907
2157,90308
2158,87903
2159,47539
2160,54880
2161,58089
2162,90897
2163,118841
2164,64815
2165,76069
2166,76965
2167,57079
2168,130953
2169,84372
2170,75724
2171,69014
2172,84628
2173,58846
2174,85369
2175,58267
2176,75675
2177,66671
2178,62222
2179,65830
2180,84566
2181,70011
2182,63335
2183,56243
2184,121796
2185,71170
2186,75258
2187,73174
2188,62811
2189,70745
2190,62358
2191,79118
2192,48859
2193,47043
2194,67931
2195,46837
2196,59986
2197,47400
2198,81054
2199,91522
2200,84977
2201,65870
2202,59365
2203,73610
2204,63714
2205,57639
2206,72587
2207,68205
2208,97936
2209,71527
2210,70704
2211,98951
2212,52845
2213,78058
2214,86888
2215,49514
2216,101604
2217,91580
2218,55676
2219,85799
2220,56215
2221,45270
2222,96425
2223,82589
2224,55679
2225,73003
2226,73352
2227,81427
2228,61530
2229,88895
2230,88825
2231,75419
2232,59497
2233,65664
2234,84391
2235,72774
2236,115439
2237,84601
2238,53990
2239,77057
2240,64367
2241,59249
2242,95260
2243,50368
2244,70266
2245,57598
2246,68225
2247,67516
2248,71460
2249,103274
2250,53804
2251,80225
2252,52301
2253,41830
2254,48105
2255,103414
2256,54900
2257,98039
2258,89787
2259,89042
2260,63755
2261,88830
2262,106517
2263,59831
2264,77938
2265,78580
2266,119573
2267,77719
2268,65905
2269,49105
2270,61578
2271,82206
2272,56446
2273,47063
2274,78243
2275,51793
2276,99521
2277,96939
2278,75474
2279,56641
2280,50887
2281,62955
2282,83476
2283,71077
2284,80543
2285,63927
2286,90996
2287,64532
2288,79302
2289,75654
2290,62138
2291,71034
2292,64945
2293,63646
2294,72485
2295,61997
2296,57872
2297,65389
2298,59670
2299,52281
2300,90589
2301,69468
2302,54792
2303,65741
2304,63534
2305,69966
2306,74070
2307,62195
2308,74642
2309,74944
2310,99094
2311,56817
2312,69218
2313,56369
2314,93940
2315,71384
2316,82358
2317,66886
2318,53872
2319,75740
2320,69407
2321,91219
2322,85624
2323,105086
2324,58066
2325,91581
2326,45254
2327,54452
2328,62409
2329,70326
2330,64778
2331,72678
2332,103397
2333,70651
2334,113149
2335,56197
2336,62341
2337,106621
2338,84247
2339,85838
2340,58021
2341,80469
2342,66894
2343,59276
2344,48462
2345,47435
2346,108849
2347,70280
2348,92548
2349,79366
2350,75061
2351,93355
2352,78636
2353,69135
2354,62984
2355,74292
2356,57760
2357,64571
2358,60476
2359,68014
2360,42947
2361,49950
2362,63687
2363,67905
2364,89993
2365,99244
2366,98023
2367,70441
2368,83496
2369,119704
2370,50245
2371,74362
2372,69082
2373,64683
2374,77222
2375,63873
2376,55196
2377,85425
2378,103942
2379,73865
2380,81596
2381,58479
2382,61918
2383,56130
2384,62293
2385,73621
2386,68877
2387,91485
2388,86433
2389,111793
2390,59237
2391,86153
2392,92115
2393,56875
2394,54988
2395,88071
2396,62740
2397,84870
2398,69834
2399,79549
2400,60986
2401,85152
2402,56541
2403,91994
2404,95566
2405,83390
2406,90423
2407,45189
2408,97715
2409,67795
2410,62286
2411,69175
2412,63162
2413,66088
2414,76230
2415,72496
2416,66406
2417,94575
2418,98203
2419,77005
2420,71204
2421,82501
2422,72136
2423,61798
2424,72119
2425,47146
2426,58073
2427,65938
2428,57403
2429,67645
2430,76084
2431,48652
2432,48140
2433,63992
2434,63717
2435,45198
2436,72475
2437,43370
2438,54901
2439,67690
2440,111278
2441,72357
2442,75838
2443,54416
2444,73288
2445,60208
2446,84596
2447,85949
2448,61180
2449,70633
2450,56907
2451,70661
2452,98776
2453,118570
2454,66985
2455,80267
2456,64343
2457,89806
2458,79201
2459,83194
2460,124811
2461,88347
2462,44415
2463,70308
2464,77093
2465,58033
2466,76554
2467,66945
2468,65862
2469,45605
2470,59758
2471,57791
2472,125872
2473,88897
2474,70188
2475,63652
2476,72383
2477,68006
2478,85921
2479,57744
2480,85590
2481,59027
2482,82410
2483,63916
2484,57864
2485,68737
2486,69701
2487,60672
2488,56469
2489,74222
2490,70084
2491,51539
2492,77884
2493,74390
2494,72884
2495,39906
2496,54836
2497,66465
